Row Index,Title,Artist,Album,Source Context,Duration,Date,Popularity,Favorited,Has Lyrics,Artist Link,Album Link,Cover URL
20,Bang (Harry & Erick Bang In Your Face Mix),Erick Morillo,Bang,House Afternoon,06:15,09/06/2022,By popularity: 2 / 10,true,false,https://www.deezer.com/en/artist/7190,https://www.deezer.com/en/album/6569985,https://cdn-images.dzcdn.net/images/cover/fce9c3c6e0e5b7b98f9c3477a0949234/40x40-000000-80-0-0.jpg
21,Nobody's Fool,ANOTR,Mighty Kingdom EP,House Afternoon,07:10,10/06/2022,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/8948922,https://www.deezer.com/en/album/687733911,https://cdn-images.dzcdn.net/images/cover/02b3f073150a52be4706a55bd2797bfa/40x40-000000-80-0-0.jpg
22,At Night (Shakedown's Galactic Boogie),Shakedown,At Night (Remixes),House Afternoon,06:59,12/06/2022,By popularity: 2 / 10,false,true,https://www.deezer.com/en/artist/6824,https://www.deezer.com/en/album/687624861,https://cdn-images.dzcdn.net/images/cover/8ba28d32fbb77184d6193f8dc7b0fa79/40x40-000000-80-0-0.jpg
23,Sometimes The Going Gets A Little Tough (Mella Dee Going Got A Bit Tougher Mix),Finn,Sometimes The Going Gets A Little Tough,House Afternoon,05:39,12/06/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/175257,https://www.deezer.com/en/album/687766891,https://cdn-images.dzcdn.net/images/cover/8be1a3ba0c94d01ada9502c96a18bf66/40x40-000000-80-0-0.jpg
24,Carioca,Sergio Fernández,Miami Sampler 2012,House Afternoon,06:21,12/06/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/94798,https://www.deezer.com/en/album/1668532,https://cdn-images.dzcdn.net/images/cover/659b61d9afa7fd3156f17a7407b6f1b0/40x40-000000-80-0-0.jpg
25,39 Times (Confrontation) (Edit),CHANEY,39 Times (Confrontation),House Afternoon,03:05,12/06/2022,By popularity: 3 / 10,false,false,https://www.deezer.com/en/artist/118126,https://www.deezer.com/en/album/90362892,https://cdn-images.dzcdn.net/images/cover/05a4244aa1a61a82c1f7a8d5e64e0c21/40x40-000000-80-0-0.jpg
26,Calling Out (Riva Starr Warehouse Remix),Sophie Lloyd,Defected presents House Masters - Riva Starr,House Afternoon,07:53,12/06/2022,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/310509471,https://www.deezer.com/en/album/687822121,https://cdn-images.dzcdn.net/images/cover/119d2aa97bed46a50330e577cd7d5c59/40x40-000000-80-0-0.jpg
27,Save Me (Qubiko Remix),Kevin McKay,Save Me (Qubiko Remix),House Afternoon,03:40,12/06/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/1361244,https://www.deezer.com/en/album/137903412,https://cdn-images.dzcdn.net/images/cover/a794a26b2a526aaa9b7fe82d9ef80247/40x40-000000-80-0-0.jpg
28,Jump N Shout (Erik Hagleton Radio Edit),Basement Jaxx,Jump N Shout,House Afternoon,03:28,03/07/2022,By popularity: 2 / 10,true,true,https://www.deezer.com/en/artist/795,https://www.deezer.com/en/album/14679742,https://cdn-images.dzcdn.net/images/cover/56778d9b14ca8766e6285f9d2e5c36c4/40x40-000000-80-0-0.jpg
29,Pop Your Pussy (2019 Rework Edit),Croatia Squad,Pop Your Pussy (2019 Rework),House Afternoon,02:55,03/07/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/1011353,https://www.deezer.com/en/album/95135362,https://cdn-images.dzcdn.net/images/cover/b6f8c13c11d1906e05442157abd68b8a/40x40-000000-80-0-0.jpg
30,Pepas,Farruko,Pepas,House Afternoon,04:47,03/07/2022,By popularity: 10 / 10,false,false,https://www.deezer.com/en/artist/614223,https://www.deezer.com/en/album/238972342,https://cdn-images.dzcdn.net/images/cover/1b88acc901e3beff139b5b4eea025802/40x40-000000-80-0-0.jpg
31,Ferrari,James Hype,Ferrari,House Afternoon,03:05,03/07/2022,By popularity: 8 / 10,false,true,https://www.deezer.com/en/artist/8205210,https://www.deezer.com/en/album/307700657,https://cdn-images.dzcdn.net/images/cover/d840cb39e0cd999d372bfee6addb07ec/40x40-000000-80-0-0.jpg
32,Acapulco,Jason Derülo,Acapulco,House Afternoon,02:19,03/07/2022,By popularity: 8 / 10,false,true,https://www.deezer.com/en/artist/249599,https://www.deezer.com/en/album/254203522,https://cdn-images.dzcdn.net/images/cover/9558f236d4d01b83fe127eb5e8db5cab/40x40-000000-80-0-0.jpg
33,Suavemente,Soolking,Suavemente,House Afternoon,02:39,03/07/2022,By popularity: 10 / 10,false,true,https://www.deezer.com/en/artist/10189104,https://www.deezer.com/en/album/297350962,https://cdn-images.dzcdn.net/images/cover/cc8599644826ed15bb892f12bc88b418/40x40-000000-80-0-0.jpg
34,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),Nathan Evans,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),House Afternoon,01:57,03/07/2022,By popularity: 7 / 10,false,true,https://www.deezer.com/en/artist/5072975,https://www.deezer.com/en/album/201834742,https://cdn-images.dzcdn.net/images/cover/4bcd0a23f7458e9a7f8f23346f48d9fb/40x40-000000-80-0-0.jpg
35,Move Your Body,Öwnboss,Move Your Body,House Afternoon,02:37,03/07/2022,By popularity: 7 / 10,false,true,https://www.deezer.com/en/artist/11546917,https://www.deezer.com/en/album/263795482,https://cdn-images.dzcdn.net/images/cover/e38209b158e3a9a5eb63e5a799bf6da8/40x40-000000-80-0-0.jpg
36,Afraid To Feel,LF SYSTEM,Afraid To Feel,House Afternoon,02:57,26/07/2022,By popularity: 8 / 10,true,false,https://www.deezer.com/en/artist/83412552,https://www.deezer.com/en/album/307094727,https://cdn-images.dzcdn.net/images/cover/cd5a4a6939e4a368f36067d804bb6124/40x40-000000-80-0-0.jpg
37,Bayside (Radio Edit),Obskür,Bayside,House Afternoon,03:17,26/07/2022,By popularity: 7 / 10,false,true,https://www.deezer.com/en/artist/71641172,https://www.deezer.com/en/album/184529552,https://cdn-images.dzcdn.net/images/cover/a478ad78ec2b5e7f86b0c4f017af3452/40x40-000000-80-0-0.jpg
38,I'm Alive (2019 Remaster),Stretch & Vern,I'm Alive (Remastered & Remixed 2019),House Afternoon,07:15,26/07/2022,By popularity: 3 / 10,false,true,https://www.deezer.com/en/artist/12588,https://www.deezer.com/en/album/93025962,https://cdn-images.dzcdn.net/images/cover/ad18075e6f2dcc2f94cc1e434df220cd/40x40-000000-80-0-0.jpg
39,Let the Sun Shine (Purple Disco Machine Remix),Milk & Sugar,Let the Sun Shine (Purple Disco Machine Remix),House Afternoon,02:46,26/07/2022,By popularity: 3 / 10,false,true,https://www.deezer.com/en/artist/9961,https://www.deezer.com/en/album/216963832,https://cdn-images.dzcdn.net/images/cover/cdbfacdb1fc637da20b385a03fb7c37c/40x40-000000-80-0-0.jpg
40,Homeless,Mr. Belt & Wezol,Homeless,House Afternoon,03:48,26/07/2022,By popularity: 6 / 10,false,false,https://www.deezer.com/en/artist/5843414,https://www.deezer.com/en/album/174943222,https://cdn-images.dzcdn.net/images/cover/95bff15745439f17998ef6ff2f2f7be7/40x40-000000-80-0-0.jpg
41,Prove,Cleavage,Prove,House Afternoon,04:39,27/07/2022,By popularity: 3 / 10,false,false,https://www.deezer.com/en/artist/5831759,https://www.deezer.com/en/album/56648432,https://cdn-images.dzcdn.net/images/cover/4b29782efe85da18091c4737f05637e8/40x40-000000-80-0-0.jpg
42,Aquarius,Oliver Heldens,Aquarius,House Afternoon,03:44,27/07/2022,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/4777520,https://www.deezer.com/en/album/122412282,https://cdn-images.dzcdn.net/images/cover/05df5e17db36b15107767c953f16a18e/40x40-000000-80-0-0.jpg
43,Travolta,Arno Cost,Travolta,House Afternoon,03:32,27/07/2022,By popularity: 3 / 10,false,true,https://www.deezer.com/en/artist/75141,https://www.deezer.com/en/album/90815022,https://cdn-images.dzcdn.net/images/cover/131cf0dbb4be85234500ad3e27d3a2e3/40x40-000000-80-0-0.jpg
44,Let the Sun Shine 2012 (Tocadisco Radio Edit),Milk & Sugar,Let the Sun Shine 2012,House Afternoon,03:12,27/07/2022,By popularity: 5 / 10,false,false,https://www.deezer.com/en/artist/9961,https://www.deezer.com/en/album/5503271,https://cdn-images.dzcdn.net/images/cover/718c0890819bd1af023406727bec3232/40x40-000000-80-0-0.jpg
45,Funky Town,ACRAZE,Funky Town,House Afternoon,02:37,27/07/2022,By popularity: 5 / 10,false,false,https://www.deezer.com/en/artist/12869727,https://www.deezer.com/en/album/201257482,https://cdn-images.dzcdn.net/images/cover/108f468a523702f7def44cb8f46bf484/40x40-000000-80-0-0.jpg
46,Douha (Mali Mali) (Edit),Disclosure,Douha (Mali Mali),House Afternoon,02:51,27/07/2022,By popularity: 6 / 10,false,true,https://www.deezer.com/en/artist/409796,https://www.deezer.com/en/album/163012572,https://cdn-images.dzcdn.net/images/cover/f2cf07ed17f9102ee2a0275fa0560097/40x40-000000-80-0-0.jpg
47,Drop The Pressure,Claptone,Drop The Pressure,House Afternoon,03:00,27/07/2022,By popularity: 5 / 10,false,true,https://www.deezer.com/en/artist/1446147,https://www.deezer.com/en/album/133631212,https://cdn-images.dzcdn.net/images/cover/cf17423ed12c318d7203af42e72391ce/40x40-000000-80-0-0.jpg
